sensor starting...
IR, Red
9024, 10254
7572, 9055
5747, 7014
5223, 6359
6344, 7550
9252, 10873
13894, 16462
24451, 28984
44465, 51475
75058, 85312
99051, 110371
113074, 108491
123230, 114630
126899, 116384
128349, 116982
126574, 116089
123793, 114599
96803, 105060
29683, 36190
36522, 43044
82208, 94510
118986, 113690
129679, 118249
132869, 119584
134518, 120022
135453, 120203
135824, 120165
135981, 120094
136288, 120115
136408, 120106
136596, 120124
136729, 120100
136713, 120046
136737, 120030
136880, 120090
137075, 120106
137362, 120234
137675, 120338
137776, 120335
138080, 120459
138232, 120521
138183, 120494
138122, 120434
137916, 120397
137950, 120363
138156, 120468
138180, 120497
138152, 120491
138181, 120510
138192, 120479
138241, 120490
138294, 120474
138405, 120527
138514, 120543
138551, 120512
138594, 120505
138616, 120506
138627, 120506
138595, 120468
138439, 120397
138201, 120310
138071, 120252
138119, 120264
138150, 120263
138190, 120271
138277, 120269
138268, 120262
138215, 120207
138234, 120225
138224, 120190
138212, 120169
138270, 120163
138209, 120138
138084, 120062
138021, 120039
138114, 120068
138091, 120058
137800, 119931
137539, 119825
137515, 119800
137588, 119829
137664, 119832
137729, 119843
137807, 119840
137891, 119893
137899, 119878
137896, 119848
137952, 119879
137968, 119884
138081, 119896
138201, 119923
138233, 119935
138311, 119949
138302, 119930
138142, 119869
137913, 119780
137810, 119753
137866, 119738
137876, 119730
137832, 119698
137860, 119686
137851, 119668
137839, 119657
137791, 119619
137810, 119615
137851, 119608
137860, 119586
137884, 119624
137950, 119626
138002, 119629
138029, 119633
137928, 119595
137670, 119489
137560, 119447
137647, 119453
137704, 119456
137716, 119450
137671, 119400
137559, 119398
137606, 119410
137639, 119418
137645, 119388
137683, 119407
137691, 119406
137756, 119424
137810, 119425
137824, 119418
137861, 119426
137820, 119396
137610, 119346
137446, 119250
137458, 119270
137615, 119274
137745, 119344
137788, 119359
137769, 119331
137730, 119323
137704, 119291
137741, 119295
137793, 119298
137811, 119342
137878, 119290
137857, 119308
137871, 119289
137830, 119300
137743, 119235
137419, 119114
137382, 119096
137502, 119124
137603, 119155
137655, 119155
137685, 119141
137712, 119191
137747, 119167
137826, 119200
137957, 119250
137855, 119200
137783, 119154
137739, 119126
137698, 119085
137679, 119030
137620, 119001
137158, 118872
137037, 118766
137186, 118826
137343, 118873
137390, 118889
137433, 118890
137480, 118900
137553, 118918
137616, 118943
137648, 118920
137677, 118885
137631, 118902
137683, 118901
137783, 118911
137873, 118953
137902, 118945
137696, 118854
137460, 118760
137446, 118736
137592, 118774
137588, 118747
137492, 118673
137463, 118687
137429, 118667
137374, 118618
137401, 118627
137463, 118630
137653, 118692
137876, 118769
138035, 118816
138144, 118856
138173, 118866
138099, 118831
137832, 118748
137658, 118628
137639, 118627
137681, 118631
137796, 118661
137859, 118679
137945, 118711
138063, 118735
138107, 118751
138219, 118808
138230, 118781
138285, 118801
138314, 118795
138282, 118801
138342, 118806
138276, 118765
138046, 118677
137837, 118593
137894, 118587
137916, 118568
137965, 118588
137971, 118591
137966, 118588
137940, 118553
137925, 118532
137931, 118529
137948, 118533
137956, 118549
138006, 118516
138006, 118527
137979, 118509
137975, 118507
137778, 118436
137523, 118330
137567, 118333
137701, 118375
137775, 118404
137792, 118399
137815, 118382
137783, 118364
137729, 118338
137739, 118329
137712, 118327
137756, 118328
137723, 118306
137738, 118281
137721, 118279
137672, 118244
137428, 118153
137076, 118017
137086, 118003
137233, 118066
137346, 118106
137437, 118101
137447, 118110
137455, 118104
137437, 118092
137457, 118087
137505, 118097
137532, 118123
137539, 118125
137589, 118143
137638, 118104
137657, 118104
137583, 118080
137203, 117958
137104, 117913
137277, 117961
137395, 118000
137465, 118005
137501, 118028
137487, 118001
137511, 118026
137496, 118017
137547, 118026
137603, 118031
137598, 118020
137646, 118029
137697, 118034
137702, 118031
137700, 117990
137574, 117986
137261, 117854
137247, 117871
137470, 117908
137527, 117937
137579, 117949
137613, 117956
137628, 117951
137608, 117939
137620, 117936
137655, 117935
137678, 117948
137716, 117933
137752, 117913
137782, 117949
137797, 117945
137657, 117891
137344, 117773
137182, 117709
137264, 117728
137319, 117781
137351, 117732
137334, 117673
137322, 117705
137248, 117684
137274, 117676
137306, 117693
137368, 117703
137419, 117712
137461, 117720
137484, 117724
137504, 117733
137479, 117681
137243, 117620
136849, 117487
136959, 117521
137167, 117549
137210, 117588
137262, 117601
137276, 117596
137227, 117561
137191, 117556
137221, 117545
137286, 117538
137319, 117571
137348, 117578
137376, 117563
137395, 117589
137484, 117606
137466, 117598
137218, 117512
136899, 117389
136919, 117400
137084, 117398
137166, 117494
137210, 117489
137271, 117500
137291, 117496
137273, 117501
137318, 117501
137359, 117509
137422, 117535
137437, 117527
137443, 117551
137460, 117523
137467, 117542
137505, 117521
137300, 117454
136933, 117320
136894, 117287
137052, 117347
137152, 117378
137214, 117395
137254, 117400
137200, 117394
137224, 117388
137257, 117374
137249, 117389
137327, 117399
137374, 117407
137415, 117419
137430, 117425
137472, 117431
137542, 117451
137470, 117447
137141, 117291
137037, 117254
137198, 117304
137337, 117368
137429, 117394
137463, 117399
137463, 117401
137428, 117417
137439, 117368
137436, 117360
137521, 117398
137591, 117430
137633, 117437
137696, 117445
137766, 117465
137793, 117472
137732, 117458
137427, 117343
137310, 117271
137479, 117361
137594, 117394
137658, 117394
137702, 117407
137634, 117404
137616, 117366
137619, 117370
137644, 117361
137695, 117386
137754, 117426
137761, 117396
137725, 117372
137798, 117377
137827, 117388
137620, 117325
137280, 117221
137355, 117234
137517, 117289
137624, 117316
137625, 117319
137620, 117349
137515, 117290
137487, 117262
137535, 117277
137540, 117249
137595, 117275
137629, 117292
137643, 117284
137670, 117290
137678, 117290
137543, 117240
137172, 117097
137089, 117072
137253, 117127
137405, 117169
137443, 117175
137486, 117186
137407, 117173
137421, 117159
137400, 117153
137418, 117157
137441, 117158
137445, 117145
137492, 117131
137482, 117124
137491, 117123
137448, 117156
137105, 116989
136883, 116928
137012, 116967
137167, 117029
137228, 117043
137240, 117039
137233, 117036
137232, 117028
137221, 117009
137241, 117047
137369, 117098
137458, 117116
137570, 117160
137643, 117187
137705, 117203
137706, 117203
137507, 117130
137136, 117001
137130, 116984
137247, 117050
137376, 117091
137460, 117077
137480, 117100
137475, 117094
137366, 117055
137311, 117023
137319, 117035
137379, 117066
137403, 117066
137435, 117081
137461, 117046
137472, 117074
137475, 117050
137160, 116952
136972, 116882
137055, 116916
137235, 116973
137345, 117015
137427, 117042
137495, 117057
137432, 117054
137447, 117045
137551, 117080
137574, 117100
137661, 117134
137679, 117112
137719, 117146
137760, 117144
137775, 117150
137715, 117129
137384, 117005
137177, 116933
137333, 116978
137531, 117050
137584, 117085
137646, 117096
137655, 117094
137596, 117075
137636, 117082
137678, 117098
137735, 117118
137780, 117132
137814, 117159
137873, 117130
137917, 117171
137982, 117173
137829, 117147
137495, 117030
137480, 117012
137653, 117070
137781, 117117
137860, 117165
137881, 117162
137890, 117176
137895, 117134
137901, 117158
137972, 117178
138031, 117187
138066, 117207
138071, 117206
138061, 117196
138060, 117194
138034, 117178
137690, 117049
137486, 117008
137634, 117006
137766, 117096
137862, 117114
137882, 117119
137890, 117119
137840, 117104
137839, 117096
137886, 117134
137910, 117143
137991, 117130
137975, 117153
137999, 117138
138005, 117144
138006, 117147
137745, 117043
137426, 116920
137478, 116951
137617, 116991
137669, 116990
137674, 117004
137614, 116967
137599, 116938
137524, 116920
137499, 116909
137493, 116898
137489, 116906
137515, 116888
137542, 116908
137580, 116932
137634, 116930
137439, 116877
137044, 116724
136880, 116682
137046, 116733
137213, 116784
137281, 116800
137356, 116825
137387, 116847
137374, 116832
137371, 116812
137449, 116843
137469, 116851
137456, 116869
137532, 116874
137522, 116873
137561, 116879
137586, 116897
137449, 116844
136986, 116675
136858, 116648
137060, 116690
137158, 116749
137278, 116733
137343, 116789
137377, 116803
137349, 116793
137362, 116797
